authors,year,name,cites,content
"W Xia, Y Li, T Jia, Z Wu",2019,BugIdentifier: An Approach to Identifying Bugs via Log Mining for Accelerating Bug Reporting Stage,0,"Bugs severely damage the reliability of open source software. In order to improve the reliability of open source software, bug tracking system is built to collect and manage bugs reported from users all over the world. When system failures occur, users investigate whether failures are induced by software bugs and then report bugs. However, it is usually difficult and time consuming to identify bugs from system failures. To accelerate bug reporting and reduce the time users spend on identifying bugs, we present BugIdentifier, an automatic bug identifying approach based on log mining. BugIdentifier combines Doc2Vec with Deep Neural Network  DNN  and treats bug identifying as a binary classification problem. Doc2Vec is adopted to train a log sequence embedding model that transforms log sequences into feature vectors, and then DNN is used to identify whether the log sequence is bug induced or not. The results of our empirical evaluation show that our approach can automatically identify real world bugs of Hadoop and OpenStack with the F1 score higher than 75 , specifically, old version bugs of OpenStack can be identified with 97  F1 score, as a result, bug reporting can be accelerated correspondingly."
"R Ruefle, A Dorofee, D Mundie ",2014,Computer security incident response team development and evolution,40,"When computer security incidents occur, it s critical that organizations be able to handle them in a timely manner. The speed with which an organization can recognize, analyze, and respond to an incident will affect the damage and lower recovery costs. Organized incident management requires defined, repeatable processes and the ability to learn from incidents that threaten the confidentiality, availability, and integrity of critical systems and data. Some organizations assign responsibility for incident management to a defined group of people or a designated unit, such as a computer security incident response team. This article looks at the development, purpose, and evolution of such specialized teams  the evolving nature of attacks they must deal with  and methods to evaluate the performance of such teams as well as the emergence of information sharing as a core service."
"JD Strate, PA Laplante",2013,A literature review of research in software defect reporting,31,"In 2002, the National Institute of Standards and Technology  NIST  estimated that software defects cost the U.S. economy in the area of  60 billion a year. It is well known that identifying and tracking these defects efficiently has a measurable impact on software reliability. In this work, we evaluate 104 academic papers on defect reporting published since the NIST report to 2012 to identify the most important advancements in improving software reliability though the efficient identification and tracking of software defects. We categorize the research into the areas of automatic defect detection, automatic defect fixing, attributes of defect reports, quality of defect reports, and triage of defect reports. We then summarize the most important work being done in each area. Finally, we provide conclusions on the current state of the literature, suggest tools and lessons learned from the research for practice, and comment on open research problems."
A Gromova,2017,Defect Report Classification in Accordance with Areas of Testing,3,"There can be thousands of software defects found during testing and submitted into a bug tracking system. This paper intends to reveal the importance of distinguishing different areas of testing in order to be able to perform further meaningful manipulations with defects, compute various metrics, classify or cluster bugs. An area of testing is made up of a group of software components. The Component s field in a bug tracking system usually contains information as to what area the defect belongs to. However, sometimes the field can be empty or does not include all the necessary elements. Moreover, every defect belongs to one or several areas, that is why the classes can overlap within the classification. Therefore it becomes necessary to use the Summary field, which has brief information about the defect. Both fields have text format and require natural language processing. This paper introduces some techniques to classify defect reports according to areas of testing, using the data of two text fields and natural language processing methods and tools."
"B Caglayan, AT Misirli, A Miranskyy, B Turhan ",2012,Factors characterizing reopened issues: a case study,14,"Background: Reopened issues may cause problems in managing software maintenance effort. In order to take actions that will reduce the likelihood of issue reopening the possible causes of bug reopens should be analysed. Aims: In this paper, we investigate potential factors that may cause issue reopening. Method: We have extracted issue activity data from a large release of an enterprise software product. We consider four dimensions, namely developer activity, issue proximity network, static code metrics of the source code changed to fix an issue, issue reports and fixes as possible factors that may cause issue reopening. We have done exploratory analysis on data. We build logistic regression models on data in order to identify key factors leading issue reopening. We have also conducted a survey regarding these factors with the QA Team of the product and interpreted the results. Results: Our results indicate that centrality in the issue proximity network and developer activity are important factors in issue reopening. We have also interpreted our results with the QA Team to point out potential implications for practitioners. Conclusions: Quantitative findings of our study suggest that issue complexity and developers workload play an important role in triggering issue reopening."
"M Borg, P Runeson",2014,"Changes, evolution, and bugs",16,"Changes in evolving software systems are often managed using an issue repository. This repository may contribute to information overload in an organization, but it may also help in navigating the software system. Software developers spend much effort on issue triage, a task in which the mere number of issue reports becomes a significant challenge. One specific difficulty is to determine whether a newly submitted issue report is a duplicate of an issue previously reported, if it contains complementary information related to a known issue, or if the issue report addresses something that has not been observed before. However, the large number of issue reports may also be used to help a developer to navigate the software development project to find related software artifacts, required both to understand the issue itself, and to analyze the impact of a possible issue resolution. This chapter presents recommendation systems that use information in issue repositories to support these two challenges, by supporting either duplicate detection of issue reports or navigation of artifacts in evolving software systems."
"R van Tonder, J Kotheimer, C Le Goues",2018,Semantic crash bucketing,11,"Precise crash triage is important for automated dynamic testing tools, like fuzzers. At scale, fuzzers produce millions of crashing inputs. Fuzzers use heuristics, like stack hashes, to cut down on duplicate bug reports. These heuristics are fast, but often imprecise: even after deduplication, hundreds of uniquely reported crashes can still correspond to the same bug. Remaining crashes must be inspected manually, incurring considerable effort. In this paper we present Semantic Crash Bucketing, a generic method for precise crash bucketing using program transformation. Semantic Crash Bucketing maps crashing inputs to unique bugs as a function of changing a program  i.e., a semantic delta . We observe that a real bug fix precisely identifies crashes belonging to the same bug. Our insight is to approximate real bug fixes with lightweight program transformation to obtain the same level of precision. Our approach uses  a  patch templates and  b  semantic feedback from the program to automatically generate and apply approximate fixes for general bug classes. Our evaluation shows that approximate fixes are competitive with using true fixes for crash bucketing, and significantly outperforms built in deduplication techniques for three state of the art fuzzers."
"Z Huang, M DAngelo, D Miyani ",2016,Talos: Neutralizing vulnerabilities with security workarounds for rapid response,18,"There is often a considerable delay between the discovery of a vulnerability and the issue of a patch. One way to mitigate this window of vulnerability is to use a configuration workaround, which prevents the vulnerable code from being executed at the cost of some lost functionality   but only if one is available. Since application configurations are not specifically designed to mitigate software vulnerabilities, we find that they only cover 25.2  of vulnerabilities. To minimize patch delay vulnerabilities and address the limitations of configuration workarounds, we propose Security Workarounds for Rapid Response  SWRRs , which are designed to neutralize security vulnerabilities in a timely, secure, and unobtrusive manner. Similar to configuration workarounds, SWRRs neutralize vulnerabilities by preventing vulnerable code from being executed at the cost of some lost functionality. However, the key difference is that SWRRs use existing error handling code within applications, which enables them to be mechanically inserted with minimal knowledge of the application and minimal developer effort. This allows SWRRs to achieve high coverage while still being fast and easy to deploy. We have designed and implemented Talos, a system that mechanically instruments SWRRs into a given application, and evaluate it on five popular Linux server applications. We run exploits against 11 real world software vulnerabilities and show that SWRRs neutralize the vulnerabilities in all cases. Quantitative measurements on 320 SWRRs indicate that SWRRs instrumented by Talos can neutralize 75.1  of all potential vulnerabilities and incur a loss of functionality similar to configuration workarounds in 71.3  of those cases. Our overall conclusion is that automatically generated SWRRs can safely mitigate 2.1  more vulnerabilities, while only incurring a loss of functionality comparable to that of traditional configuration workarounds."
AE Hassan,2008,The road ahead for mining software repositories,316,"Source control repositories, bug repositories, archived communications, deployment logs, and code repositories are examples of software repositories that are commonly available for most software projects. The mining software repositories  MSR  field analyzes and cross links the rich data available in these repositories to uncover interesting and actionable information about software systems. By transforming these repositories from static record keeping ones into active repositories, we can guide decision processes in modern software projects. For example, data in source control repositories, traditionally used to archive code, could be linked with data in bug repositories to help practitioners propagate complex changes and to warn them about risky code based on prior changes and bugs. In this paper, we present a brief history of the MSR field and discuss several recent achievements and results of using MSR techniques to support software research and practice. We then discuss the various opportunities and challenges that lie in the road ahead for this important and emerging field."
"B Hawkins, B Demsky, MB Taylor",2016,BlackBox: Lightweight security monitoring for COTS binaries,5,"After a software system is compromised, it can be difficult to understand what vulnerabilities attackers exploited. Any information residing on that machine cannot be trusted as attackers may have tampered with it to cover their tracks. Moreover, even after an exploit is known, it can be difficult to determine whether it has been used to compromise a given machine. Aviation has long used black boxes to better understand the causes of accidents, enabling improvements that reduce the likelihood of future accidents. Many attacks introduce abnormal control flows to compromise systems. In this paper, we present BLACKBOX, a monitoring system for COTS software. Our techniques enable BLACKBOX to efficiently monitor unexpected and potentially harmful control flow in COTS binaries. BlackBox constructs dynamic profiles of an application s typical control flows to filter the vast majority of expected control flow behavior, leaving us with a manageable amount of data that can be logged across the network to remote devices. Modern applications make extensive use of dynamically generated code, some of which varies greatly between executions. We introduce support for code generators that can detect security sensitive behaviors while allowing BLACKBox to avoid logging the majority of ordinary behaviors. We have implemented BlackBox in DynamoRIO. We evaluate the runtime overhead of BlackBox, and show that it can effectively monitor recent versions of Microsoft Office and Google Chrome. We show that in ROP, COOP, and state of the art JIT injection attacks, BlackBox logs the pivotal actions by which the attacker takes control, and can also blacklist those actions to prevent repeated exploits."
"S Razzaq, YF Li, CT Lin, M Xie",2018,A study of the extraction of bug judgment and correction times from open source software bug logs,3,"Cost and time effective solution for software reliability analysis is becoming the biggest concern for open source software development. The open source software development process is a bug driven development and its life cycle cost is mainly incurred in bug correction process. Bug reports, with its various features, play an important role in improving the quality of software products. Unfortunately, less attention is paid towards extraction of important attributes from bug logs. This paper is focused on the comment feature of bug repositories to extract bug judgment and correction times for the open source software reliability model building. A bug report life cycle model is presented and the method to compute the two time points is proposed. The study used datasets from ten official releases of Apache 2.0 to draw empirical results. The proposition is expected to assist in open source software reliability model building."
C Theisen,2015,Automated attack surface approximation,3," While software systems are being developed and released to consumers more rapidly than ever, security remains an important issue for developers. Shorter development cycles means less time for these critical security testing and review efforts. The attack surface of a system is the sum of all paths for untrusted data into and out of a system. Code that lies on the attack surface therefore contains code with actual exploitable vulnerabilities. However, identifying code that lies on the attack surface requires the same contested security resources from the secure testing efforts themselves. My research proposes an automated technique to approximate attack surfaces through the analysis of stack traces. We hypothesize that stack traces user crashes represent activity that puts the system under stress, and is therefore indicative of potential security vulnerabilities. The goal of this research is to aid software engineers in prioritizing security efforts by approximating the attack surface of a system via stack trace analysis. In a trial on Mozilla Firefox, the attack surface approximation selected 8.4  of files and contained 72.1  of known vulnerabilities. A similar trial was performed on the Windows 8 product. "
"M Castro, M Costa, JP Martin",2008,Better bug reporting with better privacy,117,"Software vendors collect bug reports from customers to improve the quality of their software. These reports should include the inputs that make the software fail, to enable vendors to reproduce the bug. However, vendors rarely include these inputs in reports because they may contain private user data. We describe a solution to this problem that provides software vendors with new input values that satisfy the conditions required to make the software follow the same execution path until it fails, but are otherwise unrelated with the original inputs. These new inputs allow vendors to reproduce the bug while revealing less private information than existing approaches. Additionally, we provide a mechanism to measure the amount of information revealed in an error report. This mechanism allows users to perform informed decisions on whether or not to submit reports. We implemented a prototype of our solution and evaluated it with real errors in real programs. The results show that we can produce error reports that allow software vendors to reproduce bugs while revealing almost no private information."
"Z Yin, D Yuan, Y Zhou, S Pasupathy ",2011,How do fixes become bugs?,205,"Software bugs affect system reliability. When a bug is exposed in the field, developers need to fix them. Unfortunately, the bug fixing process can also introduce errors, which leads to buggy patches that further aggravate the damage to end users and erode software vendors  reputation. This paper presents a comprehensive characteristic study on incorrect bug fixes from large operating system code bases including Linux, OpenSolaris, FreeBSD and also a mature commercial OS developed and evolved over the last 12 years, investigating not only themistake patterns during bug fixing but also the possible human reasons in the development process when these incorrect bug fixes were introduced. Our major findings include:  1  at least 14.8 24.4  of sampled fixes for post release bugs in these large OSes are incorrect and have made impacts to end users.  2  Among several common bug types, concurrency bugs are the most difficult to fix correctly: 39  of concurrency bug fixes are incorrect.  3  Developers and reviewers for incorrect fixes usually do not have enough knowledge about the involved code. For example, 27  of the incorrect fixes are made by developers who have never touched the source code files associated with the fix. Our results provide useful guidelines to design new tools and also to improve the development process. Based on our findings, the commercial software vendor whose OS code we evaluated is building a tool to improve the bug fixing and code reviewing process."
"N Pandey, A Hudait, DK Sanyal, A Sen",2018,Automated classification of issue reports from a software issue tracker,5,"Software issue trackers are used by software users and developers to submit bug reports and various other change requests and track them till they are finally closed. However, it is common for submitters to misclassify an improvement request as a bug and vice versa. Hence, it is extremely useful to have an automated classification mechanism for the submitted reports. In this paper we explore how different classifiers might perform this task. We use datasets from the open source projects HttpClient and Lucene. We apply na ve Bayes  NB , support vector machine  SVM , logistic regression  LR  and linear discriminant analysis  LDA  separately for classification and evaluate their relative performance in terms of precision, recall, F measure and accuracy.
"
"A Alipour, A Hindle, E Stroulia",2013,A contextual approach towards more accurate duplicate bug report detection,90,"Bug tracking and issue tracking systems tend to be populated with bugs, issues, or tickets written by a wide variety of bug reporters, with different levels of training and knowledge about the system being discussed. Many bug reporters lack the skills, vocabulary, knowledge, or time to efficiently search the issue tracker for similar issues. As a result, issue trackers are often full of duplicate issues and bugs, and bug triaging is time consuming and error prone. Many researchers have approached the bug deduplication problem using off the shelf information retrieval tools, such as BM25F used by Sun et al. In our work, we extend the state of the art by investigating how contextual information, relying on our prior knowledge of software quality, software architecture, and system development  LDA  topics, can be exploited to improve bug deduplication. We demonstrate the effectiveness of our contextual bug deduplication method on the bug repository of the Android ecosystem. Based on this experience, we conclude that researchers should not ignore the context of software engineering when using IR tools for deduplication."
"LG Huang, V Ng, I Persing, M Chen, Z Li ",2015,AutoODC: Automated generation of orthogonal defect classifications,53,"Orthogonal defect classification  ODC , the most influential framework for software defect classification and analysis, provides valuable in process feedback to system development and maintenance. Conducting ODC classification on existing organizational defect reports is human intensive and requires experts  knowledge of both ODC and system domains. This paper presents AutoODC, an approach for automating ODC classification by casting it as a supervised text classification problem. Rather than merely applying the standard machine learning framework to this task, we seek to acquire a better ODC classification system by integrating experts  ODC experience and domain knowledge into the learning process via proposing a novel relevance annotation framework. We have trained AutoODC using two state of the art machine learning algorithms for text classification, Naive Bayes  NB  and support vector machine  SVM , and evaluated it on both an industrial defect report from the social network domain and a larger defect list extracted from a publicly accessible defect tracker of the open source system FileZilla. AutoODC is a promising approach: not only does it leverage minimal human effort beyond the human annotations typically required by standard machine learning approaches, but it achieves overall accuracies of 82.9    NB  and 80.7    SVM  on the industrial defect report, and accuracies of 77.5    NB  and 75.2    SVM  on the larger, more diversified open source defect list."
ME Zurko,2005,User centered security: Stepping up to the grand challenge,75,"User centered security has been identified as a grand challenge in information security and assurance. It is on the brink of becoming an established subdomain of both security and human computer interface  HCI  research, and an influence on the product development lifecycle. Both security and HCI rely on the reality of interactions with users to prove the utility and validity of their work. As practitioners and researchers in those areas, we still face major issues when applying even the most foundational tools used in either of these fields across both of them. This essay discusses the systemic roadblocks at the social, technical, and pragmatic levels that user centered security must overcome to make substantial breakthroughs. Expert evaluation and user testing are producing effective usable security today. Principles such as safe staging, enumerating usability failure risks, integrated security, transparent security and reliance on trustworthy authorities can also form the basis of improved systems"
"ATT Ying, MP Robillard",2014,Developer profiles for recommendation systems,10,"Developer profiles are representations that capture the characteristics of a software developer, including software development knowledge, organizational information, and communication networks. In recommendation systems in software engineering, developer profiles can be used for personalizing recommendations and for recommending developers who can assist with a task. This chapter describes techniques for capturing, representing, storing, and using developer profiles."
"T Zhang, J Chen, G Yang, B Lee, X Luo",2016,Towards more accurate severity prediction and fixer recommendation of software bugs,48," We propose REPtopic to search the top K nearest neighbours of the new bug report. New algorithms are developed to predict bug severity and recommend bug fixers. Our approach performs better than the previous works on two bug resolution tasks. REPtopic presents better performance than REP and cosine similarity measures. We propose REPtopic to search the top K nearest neighbours of the new bug report. New algorithms are developed to predict bug severity and recommend bug fixers. Our approach performs better than the previous works on two bug resolution tasks. REPtopic presents better performance than REP and cosine similarity measures. Due to the unavoidable bugs appearing in the most of the software systems, bug resolution has become one of the most important activities in software maintenance. For large scale software programs, developers usually depend on bug reports to fix the given bugs. When a new bug is reported, a triager has to complete two important tasks that include severity identification and fixer assignment. The purpose of severity identification is to decide how quickly the bug report should be addressed while fixer assignment means that the new bug needs to be assigned to an appropriate developer for fixing. However, a large number of bug reports submitted every day increase triagers  workload, thus leading to the reduction in the accuracy of severity identification and fixer assignment. Therefore it is necessary to develop an automatic approach to perform severity prediction and fixer recommendation instead of manual work. This article proposes a more accurate approach to accomplish the goal. We firstly utilize modified REP algorithm  i.e., REPtopic  and K Nearest Neighbor  KNN  classification to search the historical bug reports that are similar to a new bug. Next, we extract their features  e.g., assignees and similarity  to develop the severity prediction and fixer recommendation algorithms. Finally, by adopting the proposed algorithms, we achieve severity prediction and semi automatic fixer recommendation on five popular open source projects, including GNU Compiler Collection  GCC , OpenOffice, Eclipse, NetBeans, and Mozilla. The results demonstrated that our method can improve the performance of severity prediction and fixer recommendation through comparison with the cutting edge studies."
"L Neil, A Joshi",2018,Mining Threat Intelligence about Open Source Projects and Libraries from Code Repository Issues and Bug Reports,0,"Open Source Projects and Libraries are being used in software development while also bearing multiple security vulnerabilities. This use of third party ecosystem creates a new kind of attack surface for a product in development. An intelligent attacker can attack a product by exploiting one of the vulnerabilities present in linked projects and libraries.In this paper, we mine threat intelligence about open source projects and libraries from bugs and issues reported on public code repositories. We also track library and project dependencies for installed software on a client machine. We represent and store this threat intelligence, along with the software dependencies in a security knowledge graph. Security analysts and developers can then query and receive alerts from the knowledge graph if any threat intelligence is found about linked libraries and projects, utilized in their products."
"A Aggarwal, G Waghmare, A Sureka",2014,"Mining issue tracking systems using topic models for trend analysis, corpus exploration, and understanding evolution",10," Issue Tracking systems  ITS  such as Google Code Hosting and Bugzilla facilitate software maintenance activities through bug reporting, archiving and fixing. The large number of bug reports and their unstructured text makes it impractical for developers to manually extract actionable intelligence to expedite bug fixing. In this paper, we present an application of mining bug report description and threaded discussion comments using Latent Dirichlet Allocation  LDA  which is a topic modeling technique. We apply LDA on the Chromium Browser Project bug archives  open source  to extract topics  discovery of semantically related terms  and the latent semantic relationship between documents  bug reports  and extracted topics for corpus exploration, trend analysis and understanding evolution in maintenance domain. We conduct a series of experiments to uncover latent topics potentially useful for developers and testers based on the bug meta data such as time, priority, type, category and status. The analysis of reopened and duplicate bugs in particular, has important inferences for the developers and can help in applications such as expertise modeling, resource allocation and knowledge management. "
"C Theisen, K Herzig, P Morrison ",2015,Approximating attack surfaces with stack traces,40,"Security testing and reviewing efforts are a necessity for software projects, but are time consuming and expensive to apply. Identifying vulnerable code supports decision making during all phases of software development. An approach for identifying vulnerable code is to identify its attack surface, the sum of all paths for untrusted data into and out of a system. Identifying the code that lies on the attack surface requires expertise and significant manual effort. This paper proposes an automated technique to empirically approximate attack surfaces through the analysis of stack traces. We hypothesize that stack traces from user initiated crashes have several desirable attributes for measuring attack surfaces. The goal of this research is to aid software engineers in prioritizing security efforts by approximating the attack surface of a system via stack trace analysis. In a trial on Windows 8, the attack surface approximation selected 48.4  of the binaries and contained 94.6  of known vulnerabilities. Compared with vulnerability prediction models  VPMs  run on the entire codebase, VPMs run on the attack surface approximation improved recall from .07 to .1 for binaries and from .02 to .05 for source files. Precision remained at .5 for binaries, while improving from .5 to .69 for source files."
"CL Jones, RA Bridges, KMT Huffer ",2015,Towards a relation extraction framework for cyber security concepts,27,"In order to assist security analysts in obtaining information pertaining to their network, such as novel vulnerabilities, exploits, or patches, information retrieval methods tailored to the security domain are needed. As labeled text data is scarce and expensive, we follow developments in semi supervised Natural Language Processing and implement a bootstrapping algorithm for extracting security entities and their relationships from text. The algorithm requires little input data, specifically, a few relations or patterns  heuristics for identifying relations , and incorporates an active learning component which queries the user on the most important decisions to prevent drifting from the desired relations. Preliminary testing on a small corpus shows promising results, obtaining precision of .82."
"X Li, P Avellino, J Janies ",2016,Software asset analyzer: A system for detecting configuration anomalies,3,"In this paper, we introduce Software Asset Analyzer  SAA , a system that monitors and detects potentially vulnerable software asset modifications in end devices, and can be used to guide patch management. Software patching is a complex and failure prone process that, on enterprise networks, requires triage. Accurate inventories of software  applications and operating systems  improve patching efficiency, which is a significant concern for security analysts. By generating asset baselines, the SAA identifies and reports abnormal deviations in individual end devices, which allows security analysts to identify vulnerable devices and further enforce security patching. This system is also suited for detecting vulnerable software installs and remediation process verification. SAA is a low cost and efficient method that yields accurate and complete inventories of assets on end devices, reducing the potential loss from new vulnerabilities."
"C Zamfir, G Candea",2010,Execution synthesis: a technique for automated software debugging,239,"Debugging real systems is hard, requires deep knowledge of the code, and is time consuming. Bug reports rarely provide sufficient information, thus forcing developers to turn into detectives searching for an explanation of how the program could have arrived at the reported failure point. Execution synthesis is a technique for automating this detective work: given a program and a bug report, it automatically produces an execution of the program that leads to the reported bug symptoms. Using a combination of static analysis and symbolic execution, it  synthesizes  a thread schedule and various required program inputs that cause the bug to manifest. The synthesized execution can be played back deterministically in a regular debugger, like gdb. This is particularly useful in debugging concurrency bugs. Our technique requires no runtime tracing or program modifications, thus incurring no runtime overhead and being practical for use in production systems. We evaluate ESD a debugger based on execution synthesis on popular software  e.g., the SQLite database, ghttpd Web server, HawkNL network library, UNIX utilities : starting from mere bug reports, ESD reproduces on its own several real concurrency and memory safety bugs in less than three minutes."
"AT Chatfield, CG Reddick",2017,Cybersecurity innovation in government: A case study of US pentagon s vulnerability reward program,8,"The U.S. federal governments and agencies face increasingly sophisticated and persistent cyber threats and cyberattacks from black hat hackers who breach cybersecurity for malicious purposes or for personal gain. With the rise of malicious attacks that caused untold financial damage and substantial reputational damage, private sector high tech firms such as Google, Microsoft and Yahoo have adopted an innovative practice known as vulnerability reward program  VRP  or bug bounty program which crowdsources software bug detection from the cybersecurity community. In an alignment with the 2016 U.S. Cybersecurity National Action Plan, the Department of Defense adopted a pilot VRP in 2016. This paper examines the Pentagon s VRP and examines how it may fit with the national cybersecurity policy and the need for new and enhanced cybersecurity capability development. Our case study results show the feasibility of the government adoption and implementation of the innovative concept of VRP to enhance the government cybersecurity posture."
"S Shiaeles, A Chryssanthou, V Katos",2013,On scene triage open source forensic tool chests: Are they effective?,11,"Considering that a triage related task may essentially make or break a digital investigation and the fact that a number of triage tools are freely available online but there is currently no mature framework for practically testing and evaluating them, in this paper we put three open source triage tools to the test. In an attempt to identify common issues, strengths and limitations we evaluate them both in terms of efficiency and compliance to published forensic principles. Our results show that due to the increased complexity and wide variety of system configurations, the triage tools should be made more adaptable, either dynamically or manually  depending on the case and context  instead of maintaining a monolithic functionality."
"S Datta, P Sarkar, S Das, S Sreshtha, P Lade ",2014,How Many Eyeballs Does a Bug Need? An Empirical Validation of Linus  Law,5,"Linus  Law reflects on a key characteristic of open source software development: developers  tendency to closely work together in the bug resolution process. In this paper we empirically examine Linus  Law using a data set of 1,000  Android bugs, owned by 70  developers. Our results indicate that encouraging developers to work closely with one another has nuanced implications  while one form of contact may help reduce bug resolution time, another form can have quite the opposite effect. We present statistically significant evidence in support of our results and discuss their relevance at the individual and organizational levels."
"B Liblit, A Aiken, AX Zheng, MI Jordan",2003,Bug isolation via remote program sampling,688,"We propose a low overhead sampling infrastructure for gathering information from the executions experienced by a program s user community. Several example applications illustrate ways to use sampled instrumentation to isolate bugs. Assertion dense code can be transformed to share the cost of assertions among many users. Lacking assertions, broad guesses can be made about predicates that predict program errors and a process of elimination used to whittle these down to the true bug. Finally, even for non deterministic bugs such as memory corruption, statistical modeling based on logistic regression allows us to identify program behaviors that are strongly correlated with failure and are therefore likely places to look for the error."
"A Kukkar, R Mohana",2018,A Supervised Bug Report Classification with Incorporate and Textual field Knowledge,1,"Performance of the bug prediction model is directly depends on the misclassification of bug reports. Misclassification issue surely scarifies the accuracy of the system. To resolve this issue the manual examination of bug reports are required, but it is very time consuming and tedious job for a developer and tester. In this paper the hybrid approach of merging text mining, natural language processing and machine learning techniques is used to identify bug report as bug or non bug. The four incorporates fields with textual fields are added to bug reports to improve the performance of classifier. TF IDF and Bigram feature extraction methods are used with feature selection and K nearest neighbor  K NN  classifier. The performance of the proposed system is evaluated by using Precision, Recall and F measure by using five datasets. It is observed that the performance of K NN classifier is changed according to the dataset and addition of bigram method improve the performance of classifier."
"L Jonsson, M Borg, D Broman, K Sandahl ",2016,Automated bug assignment: Ensemble based machine learning in large scale industrial contexts,57,"Bug report assignment is an important part of software maintenance. In particular, incorrect assignments of bug reports to development teams can be very expensive in large software development projects. Several studies propose automating bug assignment techniques using machine learning in open source software contexts, but no study exists for large scale proprietary projects in industry. The goal of this study is to evaluate automated bug assignment techniques that are based on machine learning classification. In particular, we study the state of the art ensemble learner Stacked Generalization  SG  that combines several classifiers. We collect more than 50,000 bug reports from five development projects from two companies in different domains. We implement automated bug assignment and evaluate the performance in a set of controlled experiments. We show that SG scales to large scale industrial application and that it outperforms the use of individual classifiers for bug assignment, reaching prediction accuracies from 50   to 89   when large training sets are used. In addition, we show how old training data can decrease the prediction accuracy of bug assignment. We advice industry to use SG for bug assignment in proprietary contexts, using at least 2,000 bug reports for training. Finally, we highlight the importance of not solely relying on results from cross validation when evaluating automated bug assignment."
"N Pandey, DK Sanyal, A Hudait, A Sen",2017,Automated classification of software issue reports using machine learning techniques: an empirical study,20,"Software developers, testers and customers routinely submit issue reports to software issue trackers to record the problems they face in using a software. The issues are then directed to appropriate experts for analysis and fixing. However, submitters often misclassify an improvement request as a bug and vice versa. This costs valuable developer time. Hence automated classification of the submitted reports would be of great practical utility. In this paper, we analyze how machine learning techniques may be used to perform this task. We apply different classification algorithms, namely naive Bayes, linear discriminant analysis, k nearest neighbors, support vector machine  SVM  with various kernels, decision tree and random forest separately to classify the reports from three open source projects. We evaluate their performance in terms of F measure, average accuracy and weighted average F measure. Our experiments show that random forests perform best, while SVM with certain kernels also achieve high performance."
"I Yaqoob, E Ahmed, MH ur Rehman, AIA Ahmed ",2017,The rise of ransomware and emerging security challenges in the Internet of Things,90,"With the increasing miniaturization of smartphones, computers, and sensors in the Internet of Things  IoT  paradigm, strengthening the security and preventing ransomware attacks have become key concerns. Traditional security mechanisms are no longer applicable because of the involvement of resource constrained devices, which require more computation power and resources. This paper presents the ransomware attacks and security concerns in IoT. We initially discuss the rise of ransomware attacks and outline the associated challenges. Then, we investigate, report, and highlight the state of the art research efforts directed at IoT from a security perspective. A taxonomy is devised by classifying and categorizing the literature based on important parameters  e.g., threats, requirements, IEEE standards, deployment level, and technologies . Furthermore, a few credible case studies are outlined to alert people regarding how seriously IoT devices are vulnerable to threats. We enumerate the requirements that need to be met for securing IoT. Several indispensable open research challenges  e.g., data integrity, lightweight security mechanisms, lack of security software s upgradability and patchability features, physical protection of trillions of devices, privacy, and trust  are identified and discussed. Several prominent future research directions are provided."
"X Yang, D Lo, X Xia, L Bao, J Sun",2016,Combining word embedding with information retrieval to recommend similar bug reports,42,"Similar bugs are bugs that require handling of many common code files. Developers can often fix similar bugs with a shorter time and a higher quality since they can focus on fewer code files. Therefore, similar bug recommendation is a meaningful task which can improve development efficiency. Rocha et al. propose the first similar bug recommendation system named NextBug. Although NextBug performs better than a start of the art duplicated bug detection technique REP, its performance is not optimal and thus more work is needed to improve its effectiveness. Technically, it is also rather simple as it relies only upon a standard information retrieval technique, i.e., cosine similarity. In the paper, we propose a novel approach to recommend similar bugs. The approach combines a traditional information retrieval technique and a word embedding technique, and takes bug titles and descriptions as well as bug product and component information into consideration. To evaluate the approach, we use datasets from two popular open source projects, i.e., Eclipse and Mozilla, each of which contains bug reports whose bug ids range from  1,400000 . The results show that our approach improves the performance of NextBug statistically significantly and substantially for both projects."
D Bradbury,2008,Batten down the hatches,1,"Due to the horrifying quantity of vulnerabilities, and often limited time and budget, application and database security can be quite a headache. Limiting privileges and access, however, is a good place to start, finds Danny Bradbury"
